holiday_name,Datum,is_holiday
Neujahr,2013-01-01,1
Karfreitag,2013-03-29,1
Ostermontag,2013-04-01,1
Tag der Arbeit,2013-05-01,1
Christi Himmelfahrt,2013-05-09,1
Pfingstmontag,2013-05-20,1
Tag der Deutschen Einheit,2013-10-03,1
Reformationstag,2013-10-31,1
Weihnachten,2013-12-25,1
2. Weihnachtstag,2013-12-26,1
Neujahr,2014-01-01,1
Karfreitag,2014-04-18,1
Ostermontag,2014-04-21,1
Tag der Arbeit,2014-05-01,1
Christi Himmelfahrt,2014-05-29,1
Pfingstmontag,2014-06-09,1
Tag der Deutschen Einheit,2014-10-03,1
Reformationstag,2014-10-31,1
Weihnachten,2014-12-25,1
2. Weihnachtstag,2014-12-26,1
Neujahr,2015-01-01,1
Karfreitag,2015-04-03,1
Ostermontag,2015-04-06,1
Tag der Arbeit,2015-05-01,1
Christi Himmelfahrt,2015-05-14,1
Pfingstmontag,2015-05-25,1
Tag der Deutschen Einheit,2015-10-03,1
Reformationstag,2015-10-31,1
Weihnachten,2015-12-25,1
2. Weihnachtstag,2015-12-26,1
Neujahr,2016-01-01,1
Karfreitag,2016-03-25,1
Ostermontag,2016-03-28,1
Tag der Arbeit,2016-05-01,1
Christi Himmelfahrt,2016-05-05,1
Pfingstmontag,2016-05-16,1
Tag der Deutschen Einheit,2016-10-03,1
Reformationstag,2016-10-31,1
Weihnachten,2016-12-25,1
2. Weihnachtstag,2016-12-26,1
Neujahr,2017-01-01,1
Karfreitag,2017-04-14,1
Ostermontag,2017-04-17,1
Tag der Arbeit,2017-05-01,1
Christi Himmelfahrt,2017-05-25,1
Pfingstmontag,2017-06-05,1
Tag der Deutschen Einheit,2017-10-03,1
Reformationstag,2017-10-31,1
Weihnachten,2017-12-25,1
2. Weihnachtstag,2017-12-26,1
Neujahr,2018-01-01,1
Karfreitag,2018-03-30,1
Ostermontag,2018-04-02,1
Tag der Arbeit,2018-05-01,1
Christi Himmelfahrt,2018-05-10,1
Pfingstmontag,2018-05-21,1
Tag der Deutschen Einheit,2018-10-03,1
Reformationstag,2018-10-31,1
Weihnachten,2018-12-25,1
2. Weihnachtstag,2018-12-26,1
Neujahr,2019-01-01,1
Karfreitag,2019-04-19,1
Ostermontag,2019-04-22,1
Tag der Arbeit,2019-05-01,1
Christi Himmelfahrt,2019-05-30,1
Pfingstmontag,2019-06-10,1
Tag der Deutschen Einheit,2019-10-03,1
Reformationstag,2019-10-31,1
Weihnachten,2019-12-25,1
2. Weihnachtstag,2019-12-26,1
